tweets,favorites,followers,friends,listed,fav,rt
2301,16,21,55,0,0,2
260353,34675,5167,5601,188,4,0
167,1030,18,116,0,0,30
21899,11570,609,1003,29,0,1
231339,17177,4947,3834,389,3,0
91143,16167,36597,4039,1057,6,0
131445,100710,1580,547,50,0,2
4194,1306,1649,2479,37,6,1
6596,10406,137,166,10,5,1
66655,66919,789,585,44,2,0
19949,21550,718,767,76,7,1
22386,9796,897,759,60,9,0
45750,525,168,134,17,5,0
272270,53285,15453,7516,440,0,1
153740,100053,1857,3096,387,0,54
29111,32401,3152,3457,85,4,1
31232,90,205,256,11,5,0
272270,53285,15453,7516,440,6,0
16882,3578,852,408,9,5,0
21899,11570,609,1003,29,4,1
6292,20229,916,1023,42,0,54
20182,15442,375,115,9,5,0
6156,2960,61,299,2,2,0
149164,109563,1182,259,69,0,54
6202,3198,370,721,38,1,0
1850,3337,150,244,6,3,0
73350,124142,1984,3026,81,8,4
8637,3986,113,69,2,3,0
211,686,30,112,0,0,46
4587,1856,47,209,1,2,0
6643,6987,323,1349,1,4,0
36202,11293,721,162,34,5,0
6083,60286,662,681,15,7,0
4766,14179,412,413,10,5,0
13713,20388,446,1054,71,2,0
2301,16,21,55,0,1,0
4587,1856,47,209,1,2,0
20597,66653,1306,1345,41,2,0
45326,37179,3560,5001,115,3,1
44895,660,877,617,3,0,1
380,455,23,33,0,3,0
44895,660,877,617,3,0,1
35757,55651,621,971,18,0,0
4306,1098,54,452,2,1,0
14737,2140,369,257,7,3,0
13391,23622,213,185,0,1,0
79950,103268,856,4154,20,4,0
3617,32,523,83,9,2,0
45851,27789,893,2786,34,0,0
107140,7608,741,858,17,0,0
260353,34675,5167,5601,188,2,0
5449,2748,1430,744,28,2,0
7459,2345,151,530,4,1,0
161036,7039,4693,674,86,0,0
147277,824,1243,1906,117,1,0
18956,10912,544,739,13,4,0
3378,2277,206,679,29,0,0
22789,18184,737,310,18,4,1
30355,71604,440,970,52,1,2
41584,29465,900,593,36,3,2
4587,1856,47,209,1,0,0
2487,3007,24,159,9,3,0
13713,20388,446,1054,71,1,0
3410,3596,2634,340,19,1,0
35565,7295,1312,589,83,0,0
28316,6303,194,468,24,0,54
1315,2387,96,123,3,7,0
33468,77660,953,768,33,1,0
6596,10406,137,166,10,0,0
36202,11293,721,162,34,0,2
16882,3578,852,408,9,2,0
1474,2069,441,495,16,0,95
18956,10912,544,739,13,5,0
36202,11293,721,162,34,0,4
161036,7039,4693,674,86,0,54
5605,2604,68,127,5,2,0
4194,1306,1649,2479,37,0,0
13713,20388,446,1054,71,1,0
1094,4764,334,106,5,0,4
2018,6545,977,576,3,2,0
21899,11570,609,1003,29,2,1
4587,1856,47,209,1,2,0
1869,2695,40,71,0,2,0
66655,66919,789,585,44,2,0
1966,503,33,111,0,1,0
15998,13280,751,759,41,3,0
131445,100710,1580,547,50,1,0
45326,37179,3560,5001,115,0,1
2266,7512,201,244,7,0,23
3617,32,523,83,9,1,0
4306,1098,54,452,2,3,0
79950,103268,856,4154,20,2,0
2301,16,21,55,0,0,14
